news_headline,news_article,news_category,full_text,clean_text
WhatsApp raises group voice and video call limit to 8 participants for all users,"WhatsApp today announced the number of participants allowed on group voice and video calls has been doubled from four to eight for both Android and iOS users worldwide amid the coronavirus pandemic. The higher participant limit will be available on WhatsApp's latest version. People on average spent over 15 billion minutes a day on WhatsApp calls last month, WhatsApp said.",technology,"WhatsApp raises group voice and video call limit to 8 participants for all users. WhatsApp today announced the number of participants allowed on group voice and video calls has been doubled from four to eight for both Android and iOS users worldwide amid the coronavirus pandemic. The higher participant limit will be available on WhatsApp's latest version. People on average spent over 15 billion minutes a day on WhatsApp calls last month, WhatsApp said.",whatsapp raise group voice video call limit participant user whatsapp today announce number participant allow group voice video call double four eight android io user worldwide amid coronavirus pandemic high participant limit available whatsapp late version people average spend billion minute day whatsapp call last month whatsapp say
"Google employees won't return to offices until at least June, says CEO Pichai","Google employees will not return to their offices for at least two more months, CEO Sundar Pichai said in an email to the employees, Bloomberg reported on Wednesday. Any return of the employees to the offices will be ""staggered and incremental"", Pichai added. The CEO also told employees that 'life after coronavirus will be different'.",technology,"Google employees won't return to offices until at least June, says CEO Pichai. Google employees will not return to their offices for at least two more months, CEO Sundar Pichai said in an email to the employees, Bloomberg reported on Wednesday. Any return of the employees to the offices will be ""staggered and incremental"", Pichai added. The CEO also told employees that 'life after coronavirus will be different'.",google employee not return office least june say ceo pichai google employee not return office least two month ceo sundar pichai say email employee bloomberg report wednesday return employee office staggered incremental pichai add ceo also tell employee life coronavirus different
Aarogya Setu app now mandatory for all central govt employees,"The Ministry of Personnel, Public Grievances and Pensions on Wednesday made it compulsory for all central government employees to download the government's COVID-19 app 'Aarogya Setu'. All employees have been told to check their status on the app before leaving for work. ""Commute only when the app shows 'safe' or 'low risk' status,"" the employees have been told. ",technology,"Aarogya Setu app now mandatory for all central govt employees. The Ministry of Personnel, Public Grievances and Pensions on Wednesday made it compulsory for all central government employees to download the government's COVID-19 app 'Aarogya Setu'. All employees have been told to check their status on the app before leaving for work. ""Commute only when the app shows 'safe' or 'low risk' status,"" the employees have been told. ",aarogya setu app mandatory central govt employee ministry personnel public grievance pension wednesday make compulsory central government employee download government covid app aarogya setu employee tell check status app leave work commute app show safe low risk status employee tell
TripAdvisor fires more than 900 employees amid COVID-19 pandemic,"American online travel company TripAdvisor has announced that it is laying off more than 900 employees, which is approximately one-quarter of its total workforce, in the light of COVID-19 pandemic. More than 600 of the fired employees are based in the US and Canada. ""This pandemic has been nothing short of surreal,"" TripAdvisor's Co-founder and CEO Steve Kaufer said.",technology,"TripAdvisor fires more than 900 employees amid COVID-19 pandemic. American online travel company TripAdvisor has announced that it is laying off more than 900 employees, which is approximately one-quarter of its total workforce, in the light of COVID-19 pandemic. More than 600 of the fired employees are based in the US and Canada. ""This pandemic has been nothing short of surreal,"" TripAdvisor's Co-founder and CEO Steve Kaufer said.",tripadvisor fire employee amid covid pandemic american online travel company tripadvisor announce lay employee approximately one quarter total workforce light covid pandemic fire employee base us canada pandemic nothing short surreal tripadvisor co founder ceo steve kaufer say
Lobby groups from around the world ask India to delay new 2% digital tax,"Nine lobbying groups from the US, Europe, Asia and Australia have urged India to delay a new digital tax by nine months and hold an industry-wide consultation. From April 1, India imposed a 2% tax on foreign billings for digital services provided in India. ""India is a critical market in which many of our members are deeply invested,"" they said.",technology,"Lobby groups from around the world ask India to delay new 2% digital tax. Nine lobbying groups from the US, Europe, Asia and Australia have urged India to delay a new digital tax by nine months and hold an industry-wide consultation. From April 1, India imposed a 2% tax on foreign billings for digital services provided in India. ""India is a critical market in which many of our members are deeply invested,"" they said.",lobby group around world ask india delay new digital tax nine lobby group us europe asia australia urge india delay new digital tax nine month hold industry wide consultation april india impose tax foreign billing digital service provide india india critical market many member deeply invest say
Ford self-driving vehicle service launch delayed to 2022 over COVID-19,"Ford has postponed launch of its autonomous vehicle service to 2022 as it needs to ""evaluate"" long-term impact of COVID-19 on customer behaviour. The research will provide it an ""opportunity to evaluate and potentially change our go-to-market strategy to meet new consumer demands"", Ford added. However, Ford is continuing with its preparations to launch Mustang Mach-E and a new Bronco.",technology,"Ford self-driving vehicle service launch delayed to 2022 over COVID-19. Ford has postponed launch of its autonomous vehicle service to 2022 as it needs to ""evaluate"" long-term impact of COVID-19 on customer behaviour. The research will provide it an ""opportunity to evaluate and potentially change our go-to-market strategy to meet new consumer demands"", Ford added. However, Ford is continuing with its preparations to launch Mustang Mach-E and a new Bronco.",ford self drive vehicle service launch delay covid ford postpone launch autonomous vehicle service need evaluate long term impact covid customer behaviour research provide opportunity evaluate potentially change go market strategy meet new consumer demand ford add however ford continue preparation launch mustang mach e new bronco
US Senator asks for criminal antitrust investigation into Amazon,"US Senator Josh Hawley has asked the Department of Justice to launch a criminal antitrust investigation into Amazon's alleged data abuse. Earlier, The Wall Street Journal had reported that Amazon had allegedly used its third-party sellers' data to make competing products. Hawley said such ""predatory data practices threaten"" the small businesses' ""very existence"".",technology,"US Senator asks for criminal antitrust investigation into Amazon. US Senator Josh Hawley has asked the Department of Justice to launch a criminal antitrust investigation into Amazon's alleged data abuse. Earlier, The Wall Street Journal had reported that Amazon had allegedly used its third-party sellers' data to make competing products. Hawley said such ""predatory data practices threaten"" the small businesses' ""very existence"".",us senator ask criminal antitrust investigation amazon us senator josh hawley ask department justice launch criminal antitrust investigation amazon allege datum abuse earlier wall street journal report amazon allegedly use third party seller datum make compete product hawley say predatory data practice threaten small business existence
Apple to pay $18mn for lawsuit alleging it disabled FaceTime on older iPhones,Apple has agreed to pay $18 million to settle a case accusing the company of intentionally breaking FaceTime on iOS 6 and earlier operating systems. The lawsuit had alleged that Apple had disabled FaceTime on iPhone 4 and 4s devices as a cost-saving measure in 2014. The class-action lawsuit had been filed in 2017.,technology,Apple to pay $18mn for lawsuit alleging it disabled FaceTime on older iPhones. Apple has agreed to pay $18 million to settle a case accusing the company of intentionally breaking FaceTime on iOS 6 and earlier operating systems. The lawsuit had alleged that Apple had disabled FaceTime on iPhone 4 and 4s devices as a cost-saving measure in 2014. The class-action lawsuit had been filed in 2017.,apple pay mn lawsuit allege disable facetime old iphone apple agree pay million settle case accuse company intentionally break facetime io early operating system lawsuit allege apple disable facetime iphone device cost save measure class action lawsuit file
Google Meet adding 3 million users every day: Google CEO Sundar Pichai,"Google CEO Sundar Pichai said that the tech giant's video conferencing app 'Meet' is adding three million users per day, an increase from its daily two million users reported earlier in April. ""We have seen a thirty-fold increase in usage since January,"" Pichai said. ""There are now over 100 million daily Meet meeting participants,"" he added during the earnings call.",technology,"Google Meet adding 3 million users every day: Google CEO Sundar Pichai. Google CEO Sundar Pichai said that the tech giant's video conferencing app 'Meet' is adding three million users per day, an increase from its daily two million users reported earlier in April. ""We have seen a thirty-fold increase in usage since January,"" Pichai said. ""There are now over 100 million daily Meet meeting participants,"" he added during the earnings call.",google meet add million user every day google ceo sundar pichai google ceo sundar pichai say tech giant video conference app meet add three million user per day increase daily two million user report earlier april see thirty fold increase usage since january pichai say million daily meet meeting participant add earning call
Apple expects 'many more' stores to reopen in May: Report,"Apple's VP of retail and people Deirdre O'Brien told the employees she expects Apple to open ""many more"" of its retail stores outside China in May, Bloomberg reported. She said Apple is ""continuing to analyse this health situation in every location"", the report added. Earlier this month, Apple had reopened its sole store in South Korea.",technology,"Apple expects 'many more' stores to reopen in May: Report. Apple's VP of retail and people Deirdre O'Brien told the employees she expects Apple to open ""many more"" of its retail stores outside China in May, Bloomberg reported. She said Apple is ""continuing to analyse this health situation in every location"", the report added. Earlier this month, Apple had reopened its sole store in South Korea.",apple expect many store reopen may report apple vp retail people deirdre obrien tell employee expect apple open many retail store outside china may bloomberg report say apple continue analyse health situation every location report add earlier month apple reopen sole store south korea
